,Nvidia_Price,Nvidia_Vol.,Date,Timestamp
421,138.39,37890000.0,2020-10-08,1602090000.0
422,137.63,34690000.0,2020-10-09,1602176400.0
423,142.26,43470000.0,2020-10-12,1602435600.0
424,142.48,34460000.0,2020-10-13,1602522000.0
425,140.95,27660000.0,2020-10-14,1602608400.0
426,139.7,26720000.0,2020-10-15,1602694800.0
427,138.12,24260000.0,2020-10-16,1602781200.0
428,134.98,29810000.0,2020-10-19,1603040400.0
429,136.46,22920000.0,2020-10-20,1603126800.0
430,135.25,21960000.0,2020-10-21,1603213200.0
431,133.61,29050000.0,2020-10-22,1603299600.0
432,135.9,23350000.0,2020-10-23,1603386000.0
433,131.41,33690000.0,2020-10-26,1603645200.0
434,133.97,25050000.0,2020-10-27,1603731600.0
435,126.27,37650000.0,2020-10-28,1603818000.0
436,130.24,32010000.0,2020-10-29,1603904400.0
437,125.34,41740000.0,2020-10-30,1603990800.0
438,125.81,29970000.0,2020-11-02,1604250000.0
439,130.2,27290000.0,2020-11-03,1604336400.0
440,137.94,41020000.0,2020-11-04,1604422800.0
441,141.6,31900000.0,2020-11-05,1604509200.0
442,145.62,38330000.0,2020-11-06,1604595600.0
443,136.31,58300000.0,2020-11-09,1604854800.0
444,127.7,64410000.0,2020-11-10,1604941200.0
445,134.18,40470000.0,2020-11-11,1605027600.0
446,134.57,36660000.0,2020-11-12,1605114000.0
447,132.97,34680000.0,2020-11-13,1605200400.0
448,135.15,41380000.0,2020-11-16,1605459600.0
449,134.22,31200000.0,2020-11-17,1605546000.0
450,134.29,51090000.0,2020-11-18,1605632400.0
451,134.4,56590000.0,2020-11-19,1605718800.0
452,130.88,34110000.0,2020-11-20,1605805200.0
453,131.4,36140000.0,2020-11-23,1606064400.0
454,129.58,34650000.0,2020-11-24,1606150800.0
455,132.35,25990000.0,2020-11-25,1606237200.0
456,134.01,28700000.0,2020-11-30,1606669200.0
457,133.9,29760000.0,2020-12-01,1606755600.0
458,135.45,28340000.0,2020-12-02,1606842000.0
459,133.96,19950000.0,2020-12-03,1606928400.0
460,135.58,20220000.0,2020-12-04,1607014800.0
461,136.07,22320000.0,2020-12-07,1607274000.0
462,133.5,27190000.0,2020-12-08,1607360400.0
463,129.31,40130000.0,2020-12-09,1607446800.0
464,129.72,20780000.0,2020-12-10,1607533200.0
465,130.13,20930000.0,2020-12-11,1607619600.0
466,133.09,27020000.0,2020-12-14,1607878800.0
467,133.6,19350000.0,2020-12-15,1607965200.0
468,132.43,22310000.0,2020-12-16,1608051600.0
469,133.41,23140000.0,2020-12-17,1608138000.0
470,132.72,34210000.0,2020-12-18,1608224400.0
471,133.32,30230000.0,2020-12-21,1608483600.0
472,132.78,18630000.0,2020-12-22,1608570000.0
473,130.09,17910000.0,2020-12-23,1608656400.0
474,129.94,9790000.0,2020-12-24,1608742800.0
475,129.0,21260000.0,2020-12-28,1609088400.0
476,129.43,17040000.0,2020-12-29,1609174800.0
477,131.46,22540000.0,2020-12-30,1609261200.0
478,130.55,19240000.0,2020-12-31,1609347600.0
479,131.13,56060000.0,2021-01-04,1609693200.0
480,134.05,32280000.0,2021-01-05,1609779600.0
481,126.14,58040000.0,2021-01-06,1609866000.0
482,133.44,46150000.0,2021-01-07,1609952400.0
483,132.77,29250000.0,2021-01-08,1610038800.0
484,136.21,51900000.0,2021-01-11,1610298000.0
485,134.85,29150000.0,2021-01-12,1610384400.0
486,135.32,21000000.0,2021-01-13,1610470800.0
487,132.0,28310000.0,2021-01-14,1610557200.0
488,128.6,27780000.0,2021-01-15,1610643600.0
489,133.66,25860000.0,2021-01-20,1611075600.0
490,138.68,33830000.0,2021-01-21,1611162000.0
491,137.13,24680000.0,2021-01-22,1611248400.0
492,136.53,25110000.0,2021-01-25,1611507600.0
493,134.35,16399999.999999998,2021-01-26,1611594000.0
494,129.18,37130000.0,2021-01-27,1611680400.0
495,130.51,22830000.0,2021-01-28,1611766800.0
496,129.9,27160000.0,2021-01-29,1611853200.0
497,132.37,21720000.0,2021-02-01,1612112400.0
498,135.57,22040000.0,2021-02-02,1612198800.0
499,135.3,24540000.0,2021-02-03,1612285200.0
500,136.64,20130000.0,2021-02-04,1612371600.0
501,135.91,16920000.0,2021-02-05,1612458000.0
502,144.39,43460000.0,2021-02-08,1612717200.0
503,142.63,28760000.0,2021-02-09,1612803600.0
504,147.64,48540000.0,2021-02-10,1612890000.0
505,152.51,45080000.0,2021-02-11,1612976400.0
506,149.61,37480000.0,2021-02-12,1613062800.0
507,149.06,27570000.0,2021-02-17,1613494800.0
508,148.29,23410000.0,2021-02-18,1613581200.0
509,149.26,27170000.0,2021-02-19,1613667600.0
510,143.56,32590000.000000004,2021-02-22,1613926800.0
511,141.42,39180000.0,2021-02-23,1614013200.0
512,144.99,44830000.0,2021-02-24,1614099600.0
513,133.07,82440000.0,2021-02-25,1614186000.0
514,137.15,50090000.0,2021-02-26,1614272400.0
515,138.42,35320000.0,2021-03-01,1614531600.0
516,134.06,26410000.0,2021-03-02,1614618000.0
517,128.05,37760000.0,2021-03-03,1614704400.0
518,123.7,57330000.0,2021-03-04,1614790800.0
519,124.61,54280000.0,2021-03-05,1614877200.0
520,115.93,54310000.0,2021-03-08,1615136400.0
521,125.2,52180000.0,2021-03-09,1615222800.0
522,124.68,38440000.0,2021-03-10,1615309200.0
523,129.93,29990000.0,2021-03-11,1615395600.0
524,128.56,24400000.0,2021-03-12,1615482000.0
525,131.91,22250000.0,2021-03-15,1615741200.0
526,132.91,27210000.0,2021-03-16,1615827600.0
527,133.41,24390000.0,2021-03-17,1615914000.0
528,127.22,29420000.0,2021-03-18,1616000400.0
529,128.46,29920000.0,2021-03-19,1616086800.0
530,131.86,29780000.0,2021-03-22,1616346000.0
