,Date,Natural_Gas_Price,Natural_Gas_Vol.,Crude_oil_Price,Crude_oil_Vol.
412,25-09-2020,2.139,40390.0,40.25,229030.0
413,28-09-2020,2.101,3360.0,40.6,226430.0
414,29-09-2020,2.561,196450.0,39.29,379600.0
415,30-09-2020,2.527,145930.0,40.22,340290.0
416,01-10-2020,2.527,155890.0,38.72,443440.0
417,02-10-2020,2.438,163730.0,37.05,391430.0
418,05-10-2020,2.615,195410.0,39.22,378580.0
419,06-10-2020,2.52,149530.0,40.67,400530.0
420,07-10-2020,2.606,211070.0,39.95,433070.0
421,08-10-2020,2.627,198490.0,41.19,409790.0
422,09-10-2020,2.741,207340.0,40.6,331700.0
423,12-10-2020,2.881,179700.0,39.43,322040.0
424,13-10-2020,2.855,178430.0,40.2,375470.0
425,14-10-2020,2.636,184590.0,41.04,328300.0
426,15-10-2020,2.775,150330.0,40.96,248250.0
427,16-10-2020,2.773,146430.0,40.88,96490.0
428,19-10-2020,2.795,150450.0,40.83,75340.0
429,20-10-2020,2.913,119810.0,41.46,24520.0
430,21-10-2020,3.023,154370.0,40.03,366900.0
431,22-10-2020,3.007,93190.0,40.64,307490.0
432,23-10-2020,2.971,73250.0,39.85,268930.0
433,26-10-2020,3.024,35710.0,38.56,360180.0
434,27-10-2020,3.019,57590.0,39.57,339540.0
435,28-10-2020,2.996,4960.0,37.39,489950.0
436,29-10-2020,3.301,168760.0,36.17,568820.0
437,30-10-2020,3.354,146430.0,35.79,388970.0
438,02-11-2020,3.244,156210.0,36.81,489200.0
439,03-11-2020,3.059,184780.0,37.66,410610.0
440,04-11-2020,3.046,145540.0,39.15,437000.0
441,05-11-2020,2.942,173750.0,38.79,298370.0
442,06-11-2020,2.888,186660.0,37.14,411030.0
443,09-11-2020,2.859,125980.0,40.29,622920.0
444,10-11-2020,2.949,158190.0,41.36,457050.0
445,11-11-2020,3.031,139900.0,41.45,443770.0
446,12-11-2020,2.976,126610.0,41.12,401030.0
447,13-11-2020,2.995,127130.0,40.13,338190.0
448,16-11-2020,2.697,189360.0,41.34,378790.0
449,17-11-2020,2.692,110710.0,41.43,243680.0
450,18-11-2020,2.712,124470.0,41.82,107010.0
451,19-11-2020,2.592,159960.0,41.74,88140.0
452,20-11-2020,2.65,76190.0,42.15,29780.0
453,23-11-2020,2.711,38780.0,43.06,300720.0
454,24-11-2020,2.775,41700.0,44.91,418530.0
455,25-11-2020,2.896,5630.0,45.71,417180.0
456,30-11-2020,2.882,146180.0,45.34,370760.0
457,01-12-2020,2.88,137670.0,44.55,314920.0
458,02-12-2020,2.78,142880.0,45.28,368850.0
459,03-12-2020,2.507,269560.0,45.64,350770.0
460,04-12-2020,2.575,142530.0,46.26,335450.0
461,07-12-2020,2.406,236670.0,45.76,348870.0
462,08-12-2020,2.399,177630.0,45.6,332640.0
463,09-12-2020,2.442,185150.0,45.52,434980.0
464,10-12-2020,2.553,215460.0,46.78,447530.0
465,11-12-2020,2.591,177710.0,46.57,367310.0
466,14-12-2020,2.682,142940.0,46.99,403540.0
467,15-12-2020,2.682,137600.0,47.62,311170.0
468,16-12-2020,2.677,128970.0,47.82,275330.0
469,17-12-2020,2.636,154240.0,48.36,96540.0
470,18-12-2020,2.7,121680.0,49.1,83710.0
471,21-12-2020,2.705,104270.0,47.74,27960.0
472,22-12-2020,2.78,112740.0,47.02,295740.0
473,23-12-2020,2.608,98710.0,48.12,344310.0
474,24-12-2020,2.518,39990.0,48.23,167390.0
475,28-12-2020,2.305,49280.0,47.62,238460.0
476,29-12-2020,2.467,3270.0,48.0,213780.0
477,30-12-2020,2.422,81790.0,48.4,266960.0
478,31-12-2020,2.539,111110.0,48.52,181890.0
479,04-01-2021,2.581,128380.0,47.62,528530.0
480,05-01-2021,2.702,149830.0,49.93,643190.0
481,06-01-2021,2.716,144690.0,50.63,509370.0
482,07-01-2021,2.729,135480.0,50.83,369290.0
483,08-01-2021,2.7,148730.0,52.24,499420.0
484,11-01-2021,2.747,177250.0,52.25,394820.0
485,12-01-2021,2.753,201430.0,53.21,400200.0
486,13-01-2021,2.727,169240.0,52.91,429900.0
487,14-01-2021,2.666,163040.0,53.57,390090.0
488,15-01-2021,2.737,150990.0,52.36,165670.0
489,20-01-2021,2.539,133440.0,53.24,37840.0
490,21-01-2021,2.491,100320.0,53.13,352400.0
491,22-01-2021,2.446,63830.0,52.27,437480.0
492,25-01-2021,2.602,42990.0,52.77,349080.0
493,26-01-2021,2.656,32230.0,52.61,314540.0
494,27-01-2021,2.76,5520.0,52.85,442380.0
495,28-01-2021,2.664,159820.0,52.34,411410.0
496,29-01-2021,2.564,133180.0,52.2,410910.0
497,01-02-2021,2.85,243660.0,53.55,416070.0
498,02-02-2021,2.845,236390.0,54.76,463720.0
499,03-02-2021,2.789,158480.0,55.69,448690.0
500,04-02-2021,2.935,186930.0,56.23,381400.0
501,05-02-2021,2.863,270030.0,56.85,400830.0
502,08-02-2021,2.882,194660.0,57.97,399720.0
503,09-02-2021,2.835,196930.0,58.36,514700.00000000006
504,10-02-2021,2.911,266990.0,58.68,457540.0
505,11-02-2021,2.868,261920.00000000003,58.24,380450.0
506,12-02-2021,2.912,190050.0,59.47,480820.0
